artists,album_name,track_name,danceability,energy,track_genre
TC;Metrik,Unleash The Wolves,The Light,0.579,0.947,drum-and-bass
Ulterior Motive,M.I.R. / Given Contact,M.I.R.,0.716,0.931,drum-and-bass
Technimatic;A Little Sound,Confide,Confide,0.285,0.867,drum-and-bass
Document One;Levela,In My Mind,In My Mind,0.627,0.756,drum-and-bass
Shimon;Darrison,Physio,Physio,0.489,0.977,drum-and-bass
SpectraSoul,Delay No More,Ish Chat,0.788,0.466,drum-and-bass
Dr Meaker;Voltage,Baddest DJ / Wisdom & Knowledge,Baddest DJ,0.589,0.965,drum-and-bass
SHY FX;T. Power,Feelings,Feelings,0.715,0.737,drum-and-bass
Ulterior Motive,The Real - EP,Jungle Jam,0.687,0.942,drum-and-bass
Redeyes;[ K S R ],A Thousand Times,A Thousand Times,0.615,0.855,drum-and-bass
Turno,Gemini - EP,Jungle Demon,0.524,0.993,drum-and-bass
High Contrast;Boy Matthews,The Beat Don't Feel The Same (DNB Remix),The Beat Don't Feel The Same - DNB Remix,0.535,0.884,drum-and-bass
Redeyes;Victor Gould;Juga-Naut,Selfportraits,Carry Me Home / Never Learnt,0.365,0.852,drum-and-bass
SHY FX;Breakage;Break;Tyler Daley,Darker Than Blue - EP,I Got You (feat. Tyler Daley),0.611,0.83,drum-and-bass
Dillinja,Deadly Deep Subs (Remix) [2015 Remaster],Deadly Deep Subs (Remix) [2015 Remaster],0.577,0.926,drum-and-bass
Utah Jazz,The Music Factory,Exploration,0.476,0.805,drum-and-bass
Logistics,Waveforms,Oslo,0.273,0.76,drum-and-bass
Congo Natty;Conquering Lion;Buju Banton,This Is Jungle,Stamina - 94 Dub Plate,0.631,0.898,drum-and-bass
Ed Rush;Optical;Matrix,What's the Difference? / Medicine (Matrix Remix) [2017 Remaster],Medicine (Matrix Remix) - 2017 Remaster,0.743,0.485,drum-and-bass
Ed Rush;Optical;The Scratch Perverts;MC Ryme Tyme,The Original Doctor Shade,Get Ill,0.614,0.971,drum-and-bass
Jonny L,Ooh I Like It,The Ansaphone,0.624,0.876,drum-and-bass
Roni Size;DJ Die,"Full Cycle Retrospect, Vol.1",11.55,0.719,0.983,drum-and-bass
Ed Rush;Optical,Travel the Galaxy,Snaggletooth,0.604,0.861,drum-and-bass
Fred V & Grafix;Josie,Unrecognisable,Better Times Are Coming - Keeno Remix,0.473,0.875,drum-and-bass
SHY FX;T. Power,Feelings,Feelings - Incognito Remix,0.59,0.948,drum-and-bass
Peshay,Funkster,Jungle Jazz,0.519,0.939,drum-and-bass
Shimon;Andy C,RAM 25,Night Flight (Shimon Remix),0.67,0.905,drum-and-bass
High Contrast;Clare Maguire,Who's Loving You,Who's Loving You - Pt. 1,0.561,0.906,drum-and-bass
Congo Natty;FLeCK,"Congo Natty Presents: Nu Jungle, Vol. 1",Once,0.499,0.929,drum-and-bass
Danny Byrd,Sick Music Sampler 2,Red Mist - VIP,0.545,0.952,drum-and-bass
Logistics;Zara Kershaw,Electric Sun,Finish Line,0.479,0.898,drum-and-bass
Hybrid Minds;Mimi Page;Phil Tangent,Mountains (Remixed),Starlet - Phil Tangent Remix,0.628,0.83,drum-and-bass
Ed Solo;Stickybuds,"Welcome To The Jungle: Drum & Bass X Jungle: Mixed By Deekline, Ed Solo & Serial Killaz",Take My Love For Granted,0.644,0.91,drum-and-bass
The Ganja Kru,New Frontiers E.P.,No Fear,0.662,0.96,drum-and-bass
Chase & Status;Delilah;Kev Willow,No More Idols (Platinum Edition),Time - Kev Willow Remix,0.523,0.696,drum-and-bass
4hero,Lifestyle2 - Dance Grooves Vol 1 (International Version),Hold It Down - Bugz In The Attic's Co-Operative Mix,0.75,0.693,drum-and-bass
Maduk;Diamond Eyes,Liquicity Drum & Bass 2019,Colours,0.37,0.925,drum-and-bass
Roni Size,New Forms,Digital,0.649,0.849,drum-and-bass
Mampi Swift,25 years of Charge,Gangster,0.487,0.98,drum-and-bass
Maduk;Lachi,Liquicity Drum & Bass 2019,Go,0.431,0.922,drum-and-bass
The Prototypes,Drum & Bass Arena Winter Selection 2013,Abyss - VIP,0.59,0.955,drum-and-bass
M-Beat;General Levy,"Welcome To The Jungle, Vol. 7: Jungle + Drum and Bass Soundclash",Incredible,0.857,0.978,drum-and-bass
Ed Solo;Skool Of Thought,Random Acts of Kindness,When I Was a Yout - Ed Solo Remix,0.661,0.964,drum-and-bass
Sigma;Queen Millz,Little Things,Little Things,0.673,0.734,drum-and-bass
Metrik,Gravity,Gravity,0.405,0.917,drum-and-bass
Delta Heavy,Paradise Lost,Ghost,0.374,0.957,drum-and-bass
Fred V;Paul Dowling,Climbing The Walls,Climbing The Walls,0.484,0.803,drum-and-bass
Friction,Good to Me,Good to Me,0.409,0.924,drum-and-bass
The Qemists;Enter Shikari,Spirit In The System,Take It Back,0.409,0.991,drum-and-bass
Delta Heavy;Modestep,Only in Dreams,Here with Me (feat. Modestep),0.518,0.961,drum-and-bass
René LaVice;Danny Byrd,Boomshaka,Boomshaka,0.525,0.934,drum-and-bass
Wilkinson;Karen Harding,All For You (Dark Heart Remix),All For You,0.526,0.783,drum-and-bass
Netsky,2,Come Alive,0.455,0.863,drum-and-bass
Metrik,Metrik EP,Solar,0.396,0.991,drum-and-bass
DJ Zinc;Charlotte Haining,Friends and Fam,Therapy,0.602,0.823,drum-and-bass
Loadstar,Native / Once Again,Native,0.516,0.941,drum-and-bass
Serum;Inja,VIP,Lumberjackin' - Vocal Mix,0.832,0.865,drum-and-bass
Whiney;GLXY,Don't Wait For Me (GLXY Remix),Don't Wait For Me - GLXY Remix,0.427,0.851,drum-and-bass
Nu:Logic,Somewhere Between The Light,Sanctuary,0.512,0.888,drum-and-bass
Makoto;Keeno,Tomodachi Sessions,Kosa,0.384,0.851,drum-and-bass
Pendulum;Skrillex,The Reworks,"The Island, Pt. 1 (Dawn) - Skrillex Remix",0.667,0.747,drum-and-bass
Nu:Tone,Little Spaces,Souled Out,0.598,0.866,drum-and-bass
Serum,Hillbilly,Hillbilly,0.687,0.986,drum-and-bass
Calibre,Carry Me Away / Mr Right On,Mr Right On - Remastered,0.691,0.789,drum-and-bass
Makoto;Pete Simpson,H25PITAL,Spread Love,0.51,0.896,drum-and-bass
Nu:Tone,Future Sound Of Cambridge 3,Balaclava,0.531,0.977,drum-and-bass
London Elektricity,Facelift,Out Of This World - D Kay Remix,0.576,0.896,drum-and-bass
Hugh Hardie;Kyan,Hospital: We Are 18,Tearing Me Apart,0.535,0.959,drum-and-bass
Metrik,Drum & Bass Summer Slammers: 2012 Sampler,Engine Room,0.409,0.903,drum-and-bass
Sigma;Birdy,Hope,Find Me,0.574,0.812,drum-and-bass
Commix,Commix Presents Dusted (Selected Works 2003 - 2008),Golden,0.474,0.869,drum-and-bass
Neonlight,My Galactic Tale Epilogue (Deluxe Edition),Microbots,0.615,0.955,drum-and-bass
Calibre,Even If,Rose - Original Mix,0.613,0.744,drum-and-bass
Pola & Bryson,This Time Last Year,This Time Last Year,0.419,0.82,drum-and-bass
London Elektricity;Pete Simpson;Etherwood,Are We There Yet? (The Med School Scans),Impossible To Say - Etherwood Remix,0.543,0.913,drum-and-bass
Whiney;Slay,Hospital Mixtape: Lens (DJ Mix),Back In Action (Mixed),0.579,0.737,drum-and-bass
Bachelors of Science;Brooklyn,Science Fiction,Wicked Ways,0.533,0.864,drum-and-bass
DJ Fresh,Kryptonite,Acid Rain - Original Mix,0.397,0.948,drum-and-bass
Congo Natty;Izachar;Junior Baptist,"Congo Natty Presents: Nu Jungle, Vol. 1",Go fi dem,0.631,0.877,drum-and-bass
Friction;Turno,Disconnected - EP,The Future,0.404,0.952,drum-and-bass
Shapeshifter,Soulstice,New Day Come,0.515,0.879,drum-and-bass
Serum;Pleasure,Catch The Pigeon / Dogz,Catch The Pigeon,0.686,0.931,drum-and-bass
Adam F;Fresh;Origin Unknown,Junglesound - The Bassline Strikes Back LP,When The Sun Goes Down - Origin Unknown Mix,0.397,0.966,drum-and-bass
Loadstar,Future Perfect,Second Skin,0.413,0.94,drum-and-bass
Dimension,Hospitality 2016,Pull Me Under,0.411,0.985,drum-and-bass
Tantrum Desire,Gravitate,Gravitate - Technique Summer 2017 Album Sampler,0.558,0.919,drum-and-bass
Ram Trilogy,Molten Beats,Mind Overload,0.603,0.989,drum-and-bass
Dawn Wall,Kythera,Angel Field,0.538,0.88,drum-and-bass
Murdock;Errol Dunkley,Stronger,Different Way - Murdock's Every Man Do His Jungle Mix,0.557,0.898,drum-and-bass
Drumsound & Bassline Smith,I Can Never Get Enough,I Can Never Get Enough,0.624,0.938,drum-and-bass
Flowidus,Skint x Elevate Records the Drum and Bass Remixes,Find Your Love,0.537,0.895,drum-and-bass
Drumsound & Bassline Smith,Clap Your Hands,Clap Your Hands - Dubstep Mix,0.564,0.953,drum-and-bass
DJ Patife,Cool Steps Drum 'n' Bass Grooves,Esfera - Cosmonautics Remix,0.491,0.914,drum-and-bass
Kanine;Anna Rickards,Figure It Out,Figure It Out,0.57,0.672,drum-and-bass
Dimension,Generator / Beg & Borrow,Generator,0.405,0.957,drum-and-bass
Dimension,Love To Me / Move Faster,Love To Me,0.444,0.955,drum-and-bass
Delta Heavy;Modestep;Clockvice,Here with Me (feat. Modestep) [Remixes],Here with Me (feat. Modestep) (Clockvice Remix),0.414,0.822,drum-and-bass
Annix;Rider Shafique,Equinox,Equinox,0.708,0.827,drum-and-bass
Dimension;Cameron Hayes,Devotion (ft. Cameron Hayes),Devotion (ft. Cameron Hayes),0.456,0.987,drum-and-bass
Netsky;Becky Hill,Second Nature,Hold On,0.566,0.686,drum-and-bass
Dimension,Organ,UK Border Patrol,0.512,0.683,drum-and-bass
René LaVice;Jess Young,Bad Luck,Bad Luck,0.607,0.84,drum-and-bass
Keeno,Life Cycle,Nocturne,0.395,0.869,drum-and-bass
Matrix & Futurebound;Baby Blue,Magnetic Eyes (feat. Baby Blue),Magnetic Eyes - Radio Edit,0.462,0.943,drum-and-bass
Matrix & Futurebound;Luke Bingham,All I Know EP (feat. Luke Bingham),All I Know - M&F's Rolling Out Radio Mix,0.505,0.926,drum-and-bass
Matrix;Futurebound;Luke Bingham,All I Know,All I Know - Rolling Out DJ Mix,0.497,0.904,drum-and-bass
J Majik,Everything I Do,Everything I Do,0.485,0.925,drum-and-bass
S.P.Y,Hospitality In The Park,Mr. Nobody,0.397,0.978,drum-and-bass
Total Science;MC Conrad,Soul Patrol,Soul Patrol,0.52,0.995,drum-and-bass
DJ Fresh;Marten Hørger,Gold Dust (Marten Hørger Remix),Gold Dust - Marten Hørger Remix,0.696,0.899,drum-and-bass
Makoto;Vonné,What You Need,What You Need,0.424,0.92,drum-and-bass
Lenzman,Golden Age,Got My Mind Made Up,0.692,0.843,drum-and-bass
Lenzman;KinKai;Saffron Grace,NQ State of Mind,Plantain & Champagne - Lenzman Remix,0.673,0.816,drum-and-bass
Alix Perez;Ivy Lab,Arkestra EP,The Last Light,0.68,0.937,drum-and-bass
Makoto;Karina Ramage,I Don't Wanna Wake Up,I Don't Wanna Wake Up,0.464,0.896,drum-and-bass
Lenzman,Looking at the Stars,Lazy Dub,0.669,0.867,drum-and-bass
Pendulum,Slam/Out Here,Out Here,0.548,0.951,drum-and-bass
InsideInfo;Mefjus;The Upbeats,Footpath / Leibniz,Footpath,0.327,0.987,drum-and-bass
Lenzman,Empty Promise / Broken Dreams,Empty Promise,0.426,0.975,drum-and-bass
Lenzman;Dan Stezo,NQ State of Mind,"NQ State of Mind, Vol. 1 - Continuous DJ Mix",0.593,0.924,drum-and-bass
Kanine,Central Line,Charged,0.561,0.883,drum-and-bass
Netsky,Love Has Gone,Love Has Gone,0.383,0.924,drum-and-bass
Murdock;Pat Fulgoni,Liquicity Spring 2022,Come Together,0.322,0.942,drum-and-bass
Lenzman,Masquerade,Masquerade,0.483,0.804,drum-and-bass
Kanine,Warface,Detonate,0.798,0.993,drum-and-bass
Big Bud,Infinity + Infinity,Pure Remix,0.487,0.825,drum-and-bass
BOP,Hospital Mixtape: Lens (DJ Mix),Surfing The Anxiety Waves (Mixed),0.465,0.977,drum-and-bass
Friction;Skream;Scrufizzer;P Money;Riko Dan,Kingpin,Kingpin - Rockwell Remix,0.465,0.873,drum-and-bass
Alix Perez,Numbers EP,The Raven,0.689,0.861,drum-and-bass
René LaVice;BullySongs,Play with Fire,Part of Me (feat. BullySongs),0.302,0.768,drum-and-bass
Noisia,Outer Edges,Mantra,0.508,0.953,drum-and-bass
Goldie;James Davidson;Subjective;Terri Walker,Act One - Music for Inanimate Objects,Rift Valley,0.702,0.773,drum-and-bass
Kanine,Warface,Switch,0.82,0.923,drum-and-bass
Pendulum,Witchcraft,Witchcraft,0.432,0.969,drum-and-bass
Delta Heavy,Oscillator / Fun House,Fun House,0.552,0.985,drum-and-bass
Netsky,2 Deluxe,911,0.548,0.924,drum-and-bass
Kanine,Invincible VIP / Keyboard Warrior VIP,Invincible - VIP,0.764,0.893,drum-and-bass
Chase & Status;Giggs,"Chase & Status Present ""London Bars""",More Ratatatin - London Bars Vol. II,0.89,0.829,drum-and-bass
Netsky,Fast Running Music,Come Alive,0.46,0.863,drum-and-bass
Matrix & Futurebound;James Walsh,Mystery Machine,This Time,0.446,0.9,drum-and-bass
Shapeshifter,Rituals,Futures,0.446,0.674,drum-and-bass
Keeno;Alice Gasson,Futurist,Etchings On A Glass Heart,0.444,0.799,drum-and-bass
Matrix & Futurebound,Mystery Machine,Mystery Machine,0.458,0.974,drum-and-bass
Tom & Jerry,"Jungle Hits, Vol. 1",Maximum Style (Lover To Lover),0.653,0.723,drum-and-bass
NERO,Between II Worlds,Into The Night,0.536,0.799,drum-and-bass
Dirtyphonics;Bossfight,Evil Inside,Evil Inside,0.263,0.99,drum-and-bass
SHY FX;Liam Bailey,Soon Come,Soon Come,0.812,0.666,drum-and-bass
Bensley,All Night,All Night,0.514,0.961,drum-and-bass
Technimatic;A Little Sound,Lakota (ft. A Little Sound),Lakota,0.536,0.786,drum-and-bass
Fred V & Grafix,Hospital Christmas Cracker 2013,Downpour,0.457,0.759,drum-and-bass
Sub Focus;Alice Gold,Torus,Out The Blue,0.423,0.912,drum-and-bass
DJ Zinc;Chris Lorenzo,Full House,Gammy Elbow,0.838,0.737,drum-and-bass
K Motionz;Comma Dee,Step It Up / Lights,Step It Up,0.502,0.969,drum-and-bass
TC;Little Grace,Show Some Love,Show Some Love - TC VIP Mix,0.455,0.849,drum-and-bass
Technimatic;Matt Wilson,Through the Hours,Holding On,0.449,0.906,drum-and-bass
Peshay;Abbie Adi,Good Vibrations,Good Vibrations,0.518,0.912,drum-and-bass
ShockOne;Blanke,Follow Me (Blanke Remix),Follow Me - Blanke Remix,0.518,0.964,drum-and-bass
Ownglow,All Black / Change Your Life,All Black,0.641,0.473,drum-and-bass
High Contrast;Camo & Krooked;Mefjus,Return Of Forever (Camo & Krooked & Mefjus Remix),Return Of Forever - Camo & Krooked & Mefjus Remix,0.516,0.845,drum-and-bass
Culture Shock,Sequence,Renaissance (Edit),0.458,0.981,drum-and-bass
Camo & Krooked;Ayah Marar,Cross The Line,Watch It Burn,0.349,0.868,drum-and-bass
DJ Die,DJ-Kicks (Kemistry & Storm) [DJ Mix],Clear Skyz - Mixed,0.461,0.991,drum-and-bass
LSB;DRS,Faded,Faded,0.612,0.808,drum-and-bass
DJ Zinc,I Want All Your Love,I Want All Your Love,0.687,0.937,drum-and-bass
Teddy Killerz,Chopping Machines EP,Drop It,0.653,0.97,drum-and-bass
Spor,Caligo,Like Clockwork,0.651,0.852,drum-and-bass
Camo & Krooked,Zeitgeist,WKND,0.612,0.68,drum-and-bass
Prolix,Over You / Pick Pocket,Pick Pocket,0.489,0.984,drum-and-bass
4hero,Morning Child,Morning Child - Radio Edit,0.493,0.674,drum-and-bass
Bensley,Monstercat Uncaged Vol. 10,Vex,0.32,0.983,drum-and-bass
Camo & Krooked,SSX,Heat,0.319,0.868,drum-and-bass
Keeno,Futurist,The Chase,0.55,0.919,drum-and-bass
Bladerunner;Nectax,The Fall,The Fall,0.462,0.887,drum-and-bass
4hero,Two Pages,Universal Reprise,0.573,0.421,drum-and-bass
The Prototypes;TC,Insomniac Records Presents: EDC Las Vegas 2018,Species,0.417,0.969,drum-and-bass
Dillinja,My Sound (1993 - 2004),I Wanna Know,0.744,0.937,drum-and-bass
Peshay,Funkster,Funkster,0.546,0.996,drum-and-bass
Calyx & TeeBee,1x1,Nothing Left,0.473,0.923,drum-and-bass
Sigma,Stand Tall EP Part 1,Front To Back - Original Sin Mix,0.439,0.949,drum-and-bass
Nasty Habits;DJ DB,DB 10,Shadow Boxing - Remix,0.533,0.956,drum-and-bass
The Prototypes,City of Gold (Bonus Version),Humanoid,0.449,0.938,drum-and-bass
DJ Patife,Na Estrada,Diariamente,0.579,0.763,drum-and-bass
DJ Hype,Roll The Beats (Remix),Dawn Of The Fever,0.621,0.947,drum-and-bass
Technimatic,Liquicity Festival 2022,Lightwave,0.472,0.89,drum-and-bass
Teddy Killerz;FuntCase,You Must Comply (Bass Culture 4),You Must Comply,0.604,0.992,drum-and-bass
High Contrast,Tough Guys Don't Dance,The Ghost Of Jungle Past,0.328,0.962,drum-and-bass
Camo & Krooked,Sick Music 2,Turn Up (The Music),0.621,0.773,drum-and-bass
Peshay,Full Metal Jacket (2017 Remaster),The Nocturnal (Back on the Firm) - 2017 Remaster,0.383,0.93,drum-and-bass
Original Sin,Dr Feels Good EP,8 Figure Bass,0.45,0.968,drum-and-bass
Dillinja,"Big Bad Bass, Vol. 1",Thugged out Bitch,0.616,0.967,drum-and-bass
Logistics,Spacejams,Inside My Soul,0.472,0.928,drum-and-bass
Drumsound & Bassline Smith;A.M.C.,20 Years of Technique - Remix LP,Crossfire - A.M.C Remix,0.311,0.949,drum-and-bass
High Contrast,Night Gallery,Ambient Recovery,0.626,0.7,drum-and-bass
ILLENIUM;Teddy Swims,All That Really Matters,All That Really Matters,0.352,0.666,dub
ILLENIUM;Jon Bellion,Good Things Fall Apart (with Jon Bellion),Good Things Fall Apart (with Jon Bellion),0.643,0.594,dub
ILLENIUM;MAX,Worst Day,Worst Day,0.534,0.839,dub
SLANDER;Dylan Matthew,Love Is Gone,Love Is Gone,0.452,0.465,dub
ILLENIUM;Annika Wells,Nightlight,Nightlight,0.494,0.651,dub
ILLENIUM;Skylar Grey,Worst Day,From The Ashes (with Skylar Grey),0.404,0.789,dub
ILLENIUM;Teddy Swims,Worst Day,All That Really Matters,0.352,0.666,dub
ILLENIUM;iann dior,First Time,First Time,0.526,0.667,dub
ILLENIUM;Spiritbox,Worst Day,Shivering (feat. Spiritbox),0.428,0.907,dub
Said The Sky;ILLENIUM;Chelsea Cutler,Sentiment,Walk Me Home,0.4,0.485,dub
Whales;Fraxo;Lox Chatterbox,Dead To Me Slow + Reverb,Dead To Me - Slow + Reverb,0.682,0.543,dub
PhaseOne;Kai Wachi,Death Waltz,Death Waltz,0.599,0.912,dub
Manudigital;Joseph Cotton,Only Just Begun,Only Just Begun,0.831,0.854,dub
Porter Robinson;Madeon,Shelter,Shelter,0.276,0.796,dub
SLANDER;William Black,Back To U,Back To U,0.586,0.499,dub
ILLENIUM;Sueco;Trippie Redd,Story Of My Life (feat. Trippie Redd),Story Of My Life (feat. Trippie Redd),0.521,0.892,dub
Whales;Fraxo;Lox Chatterbox,Dead To Me,Dead To Me - Original Mix,0.384,0.772,dub
ILLENIUM;iann dior,Fallen Embers,First Time,0.526,0.667,dub
ILLENIUM;X Ambassadors,ASCEND,In Your Arms (with X Ambassadors),0.404,0.806,dub
ILLENIUM;Excision;I Prevail,Feel Something (With I Prevail),Feel Something (With I Prevail),0.428,0.877,dub
ILLENIUM;Skylar Grey,From The Ashes (with Skylar Grey),From The Ashes (with Skylar Grey),0.404,0.789,dub
ILLENIUM;Bahari,ASCEND,Crashing (feat. Bahari),0.582,0.681,dub
Krewella;NERVO;Raja Kumari,Goddess,Goddess,0.707,0.866,dub
Hairitage;Rico Act,Triumph EP,40 Cal,0.613,0.933,dub
Midnight Tyrannosaurus,Black Label XL 5,The Warp,0.542,0.925,dub
Porter Robinson;League of Legends,Everything Goes On,Everything Goes On,0.55,0.648,dub
ILLENIUM;X Ambassadors;Alan Walker,In Your Arms (with X Ambassadors) [Alan Walker Remix],In Your Arms (with X Ambassadors) [Alan Walker Remix],0.496,0.691,dub
SLANDER;Danny Olson;Dylan Matthew,Love Is Gone - Danny Olson Remix,Love Is Gone - Danny Olson Remix,0.246,0.539,dub
SYN,Psycho,Psycho,0.551,0.967,dub
ILLENIUM;Jon Bellion,ASCEND,Good Things Fall Apart (with Jon Bellion),0.643,0.603,dub
SLANDER;Dylan Matthew,Replay (with Dylan Matthew),Replay (with Dylan Matthew),0.209,0.634,dub
William Black;Monika Santucci,Pages,Deep Blue,0.564,0.722,dub
Whales,Gilded Cage,Gilded Cage,0.698,0.744,dub
Sonic Journey,No More Tears,No More Tears,0.65,0.632,dub
Miles Away;Claire Ridgely,Bring Me Back,Bring Me Back,0.495,0.619,dub
Varien;Andrew Zink,Can You Feel My Heart,Can You Feel My Heart,0.258,0.747,dub
Culture Code;Karra,Make Me Move,Make Me Move,0.537,0.65,dub
William Black,Pieces,Deep End,0.63,0.706,dub
SLANDER;Dylan Matthew,Thrive,Love Is Gone,0.426,0.586,dub
ILLENIUM;Skylar Grey,From The Ashes - New Beats,From the Ashes,0.404,0.789,dub
ILLENIUM;Spiritbox,Rock Brandneu,Shivering,0.428,0.907,dub
ILLENIUM;Teddy Swims,Pop Hits Now,All That Really Matters,0.352,0.666,dub
ILLENIUM;Teddy Swims,Daily Pop Mix,All That Really Matters,0.352,0.666,dub
ILLENIUM;Teddy Swims,Hits Hits Hits,All That Really Matters,0.352,0.666,dub
ILLENIUM;Teddy Swims,Your Perfect Soundtrack,All That Really Matters,0.352,0.666,dub
ILLENIUM;Sueco;Trippie Redd,Gaming Songs 2022: Hard Mode,Story of My Life,0.521,0.892,dub
ILLENIUM;Teddy Swims,Beautiful Trending Hits 2022,All That Really Matters,0.352,0.666,dub
ILLENIUM;Sueco;Trippie Redd,"#Multiverse, If the Multiverse Is Real",Story of My Life,0.521,0.892,dub
ILLENIUM;Teddy Swims,I'm Blue - Hits of 2022,All That Really Matters,0.352,0.666,dub
ILLENIUM;Sueco;Trippie Redd,Top of the Rock,Story of My Life (Heavy Edit) - Remix,0.537,0.884,dub
Riot Ten;Sullivan King,Body Bag,Body Bag,0.473,0.958,dub
Porter Robinson,Worlds,Goodbye To A World,0.444,0.35,dub
ILLENIUM;Sasha Alex Sloan,Fallen Embers,U & Me,0.563,0.837,dub
Black Tiger Sex Machine;YOOKiE;Doctor P,Lions (Doctor P Remix),Lions - Doctor P Remix,0.603,0.964,dub
GHASTLY;MOONBOY,Psycho,Psycho,0.41,0.985,dub
Said The Sky;Kwesi,Wide-Eyed,All I Got,0.326,0.578,dub
ILLENIUM;Nevve,Fractures (feat. Nevve),Fractures (feat. Nevve),0.41,0.711,dub
Zeds Dead;MKLA,Alive,Alive,0.618,0.758,dub
Far Out;Karra,Constellation,Constellation,0.342,0.842,dub
ILLENIUM;Annika Wells,Fallen Embers,Nightlight,0.494,0.651,dub
SVDDEN DEATH,VOYD Vol. I,Behemoth,0.891,0.893,dub
ILLENIUM;Jon Bellion;Said The Sky;Annika Wells,ASCEND (Tour Edits),Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),0.563,0.555,dub
ILLENIUM;Tori Kelly,Fallen Embers,Blame Myself,0.392,0.737,dub
NURKO;Chandler Leighton,Disappearing Now,Disappearing Now,0.295,0.713,dub
Krewella;Far Out,Alibi & Runaway (Remixes),Alibi (Far Out Remix),0.602,0.758,dub
Culture Code;Alexis Donn,You & I,You & I,0.586,0.713,dub
MUZZ;F.O.O.L;TOKYO ROSE,Horsepower (F.O.O.L & TOKYO ROSE Remix),Horsepower - F.O.O.L & TOKYO ROSE Remix,0.598,0.765,dub
ILLENIUM;Emilie Brandt,Awake,Lost,0.671,0.616,dub
Culture Code;Amanda Collis,Fairytale,Fairytale,0.644,0.628,dub
SLANDER;Tiësto;Dylan Matthew,Love Is Gone (Tiësto Remix),Love Is Gone - Tiësto Remix,0.414,0.765,dub
ILLENIUM;Annika Wells,Awake,Crawl Outta Love,0.377,0.723,dub
Krewella,Get Wet,Alive,0.671,0.828,dub
Manila Killa;TRACE,Never Easy,Never Easy,0.485,0.939,dub
Krewella,Play Hard EP,Alive,0.663,0.822,dub
SLANDER;Fairlane;Jonathan Mendelsohn,Hurts Sometimes (with Jonathan Mendelsohn),Hurts Sometimes (with Jonathan Mendelsohn),0.249,0.732,dub
Whales;Jo Cohen;Lusil,High,High,0.616,0.643,dub
ILLENIUM;Nevve,Awake,Fractures,0.406,0.711,dub
Far Out;Karra,On My Own,On My Own,0.403,0.779,dub
ILLENIUM,ASCEND,Take You Down,0.275,0.657,dub
ILLENIUM;Said The Sky;Annika Wells,ASCEND,Sad Songs (& Said The Sky with Annika Wells),0.532,0.571,dub
Tisoki;Shreya Jain;MAGIC;Shashwat Sachdev,Attack (Original Motion Picture Soundtrack),Crazy Now,0.737,0.903,dub
Riot Ten;Rico Act;Monxx,Rail Breaker (feat. Rico Act) [Remixes],Rail Breaker (feat. Rico Act) - MONXX Remix,0.733,0.87,dub
Seven Lions;Lights,Stop Thinking (feat. Lights),Stop Thinking (feat. Lights),0.396,0.597,dub
ILLENIUM;MAX,Awake,Beautiful Creatures (feat. MAX),0.578,0.826,dub
Ray Volpe,Laserbeam,Laserbeam,0.573,0.978,dub
SLANDER;Alok;Dylan Matthew,Love Is Gone - Alok Remix,Love Is Gone - Alok Remix,0.626,0.787,dub
Ini Kamoze,On Your 90's Radio,Here Comes the Hotstepper,0.852,0.537,dub
ILLENIUM;Spiritbox,Shivering (feat. Spiritbox),Shivering (feat. Spiritbox),0.428,0.907,dub
Riot Ten;Rico Act,Rail Breaker (feat. Rico Act),Rail Breaker (feat. Rico Act),0.661,0.808,dub
Koven,Never Have I Felt This,Never Have I Felt This,0.483,0.863,dub
SLANDER;R3HAB;Dylan Matthew,Love Is Gone - R3HAB Remix,Love Is Gone - R3HAB Remix,0.657,0.67,dub
Inhaler,The Greatest Rock Tunes 2022,Totally,0.618,0.718,dub
DJ Noiz;Kennyon Brown;Donell Lewis;Konecs,Senorita,Senorita,0.807,0.737,dub
HALIENE,Black Hole House Music 10-22,Reach Across the Sky,0.529,0.698,dub
Flux Pavilion;Rosie Oddie,10's Dance Classics,Gold Love - LAXX Remix,0.583,0.918,dub
Cidade Verde Sounds,Minha Alegria,Minha Alegria,0.679,0.61,dub
Black Uhuru;Sly & Robbie,Sinsemilla,Sinsemilla,0.842,0.562,dub
BaianaSystem,Duas Cidades,Duas Cidades,0.789,0.899,dub
Inhaler,Hidden Gems,Cheer Up Baby,0.462,0.914,dub
Steel Pulse,Supa Chill,Your House (Dub Version) - Remix,0.716,0.487,dub
SLANDER;Said The Sky;JT Roach,Potions,Potions,0.545,0.323,dub
Dabin;Trella,Between Broken,Starbright,0.458,0.67,dub
Porter Robinson,Worlds,Sad Machine,0.47,0.706,dub
Krewella;Nucleya,Good On You,Good On You,0.7,0.725,dub
Seven Lions;ILLENIUM;Said The Sky;HALIENE,Rush Over Me,Rush Over Me,0.441,0.753,dub
ILLENIUM;Dana Salah,Ashes,Reverie,0.376,0.692,dub
Porter Robinson,Nurture,Look at the Sky,0.568,0.564,dub
Said The Sky;William Black;SayWeCanFly,On My Own,On My Own,0.463,0.773,dub
ILLENIUM;Joni Fatora,Ashes,Fortress,0.563,0.852,dub
Dabin;Dia Frampton,Wild Youth,Bloom,0.599,0.565,dub
Krewella,Team,Team,0.622,0.622,dub
